title,category,rating_num,price_gbp,price_bucket
It's Only the Himalayas,Travel,2,45.17,high
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43,high
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,48.87,high
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,36.94,high
Under the Tuscan Sun,Travel,3,37.33,high
A Summer In Europe,Travel,2,44.34,high
The Great Railway Bazaar,Travel,1,30.54,mid
A Year in Provence (Provence #1),Travel,4,56.88,high
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1,23.21,mid
Neither Here nor There: Travels in Europe,Travel,3,38.95,high
"1,000 Places to See Before You Die",Travel,5,26.08,mid
Sharp Objects,Mystery,4,47.82,high
"In a Dark, Dark Wood",Mystery,1,19.63,low
The Past Never Ends,Mystery,4,56.5,high
A Murder in Time,Mystery,1,16.64,low
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.1,high
The Last Mile (Amos Decker #2),Mystery,2,54.21,high
That Darkness (Gardiner and Renner #1),Mystery,1,13.92,low
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69,low
A Time of Torment (Charlie Parker #14),Mystery,5,48.35,high
A Study in Scarlet (Sherlock Holmes #1),Mystery,2,16.73,low
Poisonous (Max Revere Novels #3),Mystery,3,26.8,mid
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,54.36,high
Most Wanted,Mystery,3,35.28,high
Hide Away (Eve Duncan #20),Mystery,1,11.84,low
Boar Island (Anna Pigeon #19),Mystery,3,59.48,high
The Widow,Mystery,2,27.26,mid
Playing with Fire,Mystery,3,13.71,low
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37,mid
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.3,high
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,20.89,mid
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4,24.8,mid
In the Woods (Dublin Murder Squad #1),Mystery,2,38.38,high
The Silkworm (Cormoran Strike #2),Mystery,5,23.05,mid
The Exiled,Mystery,3,43.45,high
The Cuckoo's Calling (Cormoran Strike #1),Mystery,1,19.21,low
Extreme Prey (Lucas Davenport #26),Mystery,3,25.4,mid
Career of Evil (Cormoran Strike #3),Mystery,2,24.72,mid
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,57.7,high
The Girl You Lost,Mystery,5,12.29,low
The Girl In The Ice (DCI Erika Foster #1),Mystery,3,15.85,low
Blood Defense (Samantha Brinkman #1),Mystery,3,20.3,mid
1st to Die (Women's Murder Club #1),Mystery,1,53.98,high
Tipping the Velvet,Historical Fiction,1,53.74,high
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69,mid
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,high
The House by the Lake,Historical Fiction,1,36.95,high
Mrs. Houdini,Historical Fiction,5,30.25,mid
The Marriage of Opposites,Historical Fiction,4,28.08,mid
Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,45.84,high
